Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2024-01-03,2.7122633457669965,0.7527102990063612,0.5326403686832053,-0.6768017257530283,1.2534720011550173,0.5432217938576425
2024-01-04,2.5644259804999274,1.604254544304447,1.6465392265990104,0.07133908329972218,1.308903495216107,0.2688576497087285
2024-01-05,2.221593571616065,1.6077214693408788,1.482135345900771,0.37506452247504807,1.3335336259446773,-0.6101259113651688
2024-01-08,1.2356235025975641,-0.8274587387693267,0.34004004179353153,-0.5632413402243709,0.91877708990793,-2.8927375497630945
2024-01-09,1.1813456930082369,-1.1611551790558154,-0.31710494167183584,-1.0989836859474702,1.4848400143715916,-2.7047115201916605
2024-01-10,0.9088379318617886,-2.657463806406028,-0.9793909128182063,-1.352266476059383,1.5061679851683594,-2.7076450037400615
2024-01-11,0.9214086122072908,-2.4704814028351034,-1.3108148878118528,-1.1875063782903506,2.03816530872836,-2.3658871664267767
2024-01-12,0.7796491221313285,-2.5415229235706254,-1.0201845723050955,-1.2665529360538381,2.37482618351833,-1.951625251674375
2024-01-16,1.086518393875969,-2.3517771683780304,-0.47855940613544695,-1.1747746721391794,1.924802226309132,-2.1767230397823836
2024-01-17,1.1540060149092939,-1.8890774368530223,0.03706794689182949,-0.7687301300259126,1.9266299003707805,-1.7655759766200512
2024-01-18,-0.03888730069331181,-2.0837256790616703,-0.5825090058665481,-1.5178129408809964,1.8690538066855238,-1.8172107914814093
2024-01-19,-0.724652190946252,-2.1877473528251343,-1.1537225983609658,-2.336964022478675,1.6301880725236173,-2.103161662745184
2024-01-22,-1.2497761901544029,-1.695895141177307,-0.9025094155887906,-1.863302606361854,1.612762784071705,-1.843777307721029
2024-01-23,-1.51086354250452,-1.6839175489111753,-1.2278783404089884,-1.905976070586258,1.4234634937435564,-1.6552293228653872
2024-01-24,-1.3380309146837153,-1.7513065436299664,-1.370126870862934,-2.0487980633076543,1.3466464378196898,-1.7400154760712792
2024-01-25,-1.238645710658915,-1.6943249515819554,-1.4752289062420116,-2.350632596260779,2.3143425228784733,-1.5793701271960972
2024-01-26,-0.8874567136874705,-1.434673979866229,-1.6430949996897077,-2.019985689655913,2.0122076155850097,-1.305176499463228
2024-01-29,-0.7767081626777319,-1.6483569800635045,-1.8808519595092856,-1.9395443779229982,1.4740417809945976,-1.4271369002260161
2024-01-30,-0.03259759135918854,-1.3923032734622327,-1.2214910779966648,-1.3743261212259952,1.3090827070307982,-1.33840415324196
2024-01-31,0.7491552626383892,-0.5341699498892492,-0.31798375475860896,0.7576574620984592,1.392481914323139,-1.0018464164921523
2024-02-01,0.2435569198986382,-0.9068759411046913,-1.1280900443264767,0.5895571859926569,1.1884461616071456,-1.2283475191475266
2024-02-02,0.5346205754930083,-1.3825538715967005,-3.0299261181858257,0.43937224163154354,1.125667230021316,-1.7854027499013605
2024-02-05,0.20032493001154833,-0.8801307189284794,-2.3578322988988663,0.2813608859737134,1.3478966142168674,-2.2341795433100327
2024-02-06,-0.16094495546712634,-0.802148741707203,-1.8757697069308665,0.25960521729041836,1.0554246964901468,-1.771323556666558
2024-02-07,-0.13766593799364704,-1.6107298880702052,-1.821171710049694,-0.027344614786295632,0.8418910915690183,-1.913204543491819
2024-02-08,0.17601116557730448,-1.5024280298557962,-1.5108788752205087,-0.07450106908944747,0.6550880225450736,-1.6212047479492422
